Model,evttime,ret_m,abret_m,abret_t,sar_t,pat_ar,cret_me,car_me,patcar_me,car_te,scar_te,bhar_me
Fama-French Plus Momentum,-7,0.0009035486,0.002682598,1.0382170631,1.8797252037,2.8804167235,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,-6,0.0056027812,0.0048430975,1.2489224031,1.4148032478,3.024606031,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,-5,-0.002335334,-0.002118223,-0.95028647,-0.367588479,-0.484397341,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,-4,0.0006802531,-0.001573205,-0.650733651,-0.364439622,-0.480951114,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,-3,-0.004397002,-0.000908829,-0.414278647,-0.424651555,-0.496796388,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,-2,-0.001678932,0.0004646699,0.1777256039,1.0479396309,1.4454674462,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,-1,0.0032427888,0.0025455901,1.0767361345,0.991080122,1.6944325596,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,0,-0.002426104,0.0002413254,0.0938505776,1.0499781221,1.8175478076,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,1,-0.001760015,-0.001311039,-0.563595404,1.0817987715,1.6533412238,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,2,0.0019660867,0.0021334275,0.6895837952,-0.303230695,-0.456409348,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,3,0.0009608923,0.000766172,0.3152392006,0.7137209859,1.0625689481,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,4,-0.002246803,-0.001349934,-0.591334145,-0.899282953,-1.17124106,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,5,0.0022845029,0.0034797666,1.2799205211,1.6136605864,2.3441160775,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,6,0.0074486241,0.005664608,0.7517749762,0.2013074218,0.5064693297,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,7,0.0071730455,0.0046174928,1.7535353594,1.0664585686,1.5360964735,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
Fama-French Plus Momentum,8,-0.002059594,-0.001043405,-0.389904726,0.1165822882,0.1688611931,0.0170058211,0.0191341132,3.7610321404,1.2222479148,2.1752574986,0.0174772752
